44.3516,33.31707,0,Iraq
44.248055,33.297222,16,Camp Victory
44.256389,33.523611,16,Camp Taji
44.45111,32.806,16,Camp Kalsu
44.36652,33.21027,16,Camp Falcon
44.36629,33.06191,0,Mohmadiya
43.67422,35.78196,0,Q-West
44.60165,33.79361,0,Warhorse
42.40949,36.28691,0,Sykes
43.12648,36.35164,0,Mosul
43.14073,36.30518,0,Marez
66.27347,34.34051,0,Afghanistan
69.26668,34.93165,0,Bagram AFB
69.96582,33.36636,16,FOB Salerno
69.05426,33.95114,16,FOB Shank
68.88,34.39585,16,FOB Airborne
69.08087,33.82574,16,FOB Altimur
71.11135,34.77652,16,FOB Joyce
69.24135,34.55115,0,Kabul
70.49738,34.40157,16,FOB Fenty
65.850139,31.503332,16,FOB Kandahar
70.90307,34.98559,16,FOB Blessing
71.52353,35.20998,16,FOB Bostick
70.388,34.95714,16,FOB Kalagush
70.19817,34.68253,16,FOB Methar Lam
-95.264136,38.95225,0,CONUS
